Probe	ProbeID	gennames	biotype_gene
126	ILMN_1651763	730255	TFDP3	protein_coding
127	ILMN_1651767	7210685	MKL1	protein_coding
128	ILMN_1651769	1230112	ZFYVE16	protein_coding
129	ILMN_1651771	2750753	RRAGB	protein_coding
130	ILMN_1651776	50129	FHOD1	protein_coding
131	ILMN_1651787	3120762	NA	NA
132	ILMN_1651788	4890068	MAP3K11	protein_coding
133	ILMN_1651792	5390110	RORC	protein_coding
134	ILMN_1651799	1740136	SLC38A2	protein_coding
135	ILMN_1651800	6900592	GSTM4	protein_coding
136	ILMN_1651806	110564	TIPARP	protein_coding
137	ILMN_1651811	6960468	MICAL3	protein_coding
138	ILMN_1651817	2260110	NA	NA
139	ILMN_1651819	4480669	GALNT11	protein_coding
140	ILMN_1651826	2140121	BASP1	protein_coding
141	ILMN_1651828	5270717	CCT3	protein_coding
142	ILMN_1651832	1780619	EHD1	protein_coding
143	ILMN_1651838	7570053	RND1	protein_coding
144	ILMN_1651846	7510301	EML6	protein_coding
145	ILMN_1651848	6420291	NA	NA
146	ILMN_1651850	6450553	RPS16	protein_coding
147	ILMN_1651865	3120414	NA	NA
148	ILMN_1651872	110121	UBIAD1	protein_coding
149	ILMN_1651878	6330168	NA	NA
150	ILMN_1651886	240097	NA	NA
151	ILMN_1651899	2320494	NA	processed_pseudogene
152	ILMN_1651900	3830039	KCNA4	protein_coding
153	ILMN_1651902	5910291	RASL11A	protein_coding
154	ILMN_1651905	1690092	NA	NA
155	ILMN_1651913	1430561	NA	NA
156	ILMN_1651916	5260020	NA	NA
157	ILMN_1651936	2350735	KMT5A	protein_coding
158	ILMN_1651938	3830348	EML6	protein_coding
159	ILMN_1651940	6940079	OR6C76	protein_coding
160	ILMN_1651943	2630600	ANK3	protein_coding
161	ILMN_1651944	2760594	CTNND1	protein_coding
162	ILMN_1651949	3180348	NA	NA
163	ILMN_1651950	4760747	TPST1	protein_coding
164	ILMN_1651958	940735	NA	NA
165	ILMN_1651964	7610050	ABCC5	protein_coding
166	ILMN_1651966	3370019	FGFR3	protein_coding
167	ILMN_1651967	4640341	NA	NA
168	ILMN_1651984	7150288	NTRK2	protein_coding
169	ILMN_1651987	1340400	CCDC167	protein_coding
170	ILMN_1652006	5820561	SMC1A	protein_coding
171	ILMN_1652017	5390474	PPEF1	protein_coding
172	ILMN_1652022	2650139	DHX57	protein_coding
173	ILMN_1652023	5550538	AGFG2	protein_coding
174	ILMN_1652024	4210064	CSNK1G3	protein_coding
175	ILMN_1652037	2360743	UPP2	protein_coding
176	ILMN_1652065	2480544	NA	NA
177	ILMN_1652066	580661	SNED1	protein_coding
178	ILMN_1652072	1740551	NIM1K	protein_coding
179	ILMN_1652079	990156	NA	NA
180	ILMN_1652082	1410168	ELF4	protein_coding
181	ILMN_1652085	2350563	MPHOSPH10	protein_coding
182	ILMN_1652088	1690148	NA	NA
183	ILMN_1652098	6590521	NA	lincRNA
184	ILMN_1652104	4540100	KRAS	protein_coding
185	ILMN_1652113	4880674	NA	NA
186	ILMN_1652128	2510592	LMBRD1	protein_coding
187	ILMN_1652144	1510709	GALNT16	protein_coding
188	ILMN_1652147	6620181	NA	NA
189	ILMN_1652151	6560382	TJP2	protein_coding
190	ILMN_1652155	7210008	DHX9	protein_coding
191	ILMN_1652160	4040059	LRBA	protein_coding
192	ILMN_1652161	5360138	PNKD	protein_coding
193	ILMN_1652163	7570059	DVL2	protein_coding
194	ILMN_1652164	3930187	UNC93B5	unprocessed_pseudogene
195	ILMN_1652166	240647	GUCY1B2	transcribed_unitary_pseudogene
196	ILMN_1652170	4490113	LINC00273	lincRNA
197	ILMN_1652171	5550286	CDKN2C	protein_coding
198	ILMN_1652175	1780523	KRTAP9-8	protein_coding
199	ILMN_1652178	6060133	NA	lincRNA
200	ILMN_1652181	4230349	KIF2B	protein_coding
201	ILMN_1652185	5910609	IL4R	protein_coding
202	ILMN_1652188	5870176	EPG5	protein_coding
203	ILMN_1652198	4860634	CCM2	protein_coding
204	ILMN_1652205	7550228	NA	NA
205	ILMN_1652207	3390022	COX4I1	protein_coding
206	ILMN_1652215	3850452	NA	processed_pseudogene
207	ILMN_1652218	520768	NA	unprocessed_pseudogene
208	ILMN_1652219	1010725	NOL4L	protein_coding
209	ILMN_1652223	7150367	WDR91	protein_coding
210	ILMN_1652230	6840170	RPS29P3	processed_pseudogene
211	ILMN_1652236	830551	ATAD5	protein_coding
212	ILMN_1652237	5560543	NA	NA
213	ILMN_1652242	4040121	C5orf30	protein_coding
214	ILMN_1652243	6110743	VWA5B1	protein_coding
215	ILMN_1652244	1470324	BVES-AS1	antisense
216	ILMN_1652248	730270	KIAA0895L	protein_coding
217	ILMN_1652249	1740441	PTPA	protein_coding
218	ILMN_1652254	2640646	NA	NA
219	ILMN_1652276	1990039	MAGEA3	protein_coding
220	ILMN_1652277	5360093	SECTM1	protein_coding
221	ILMN_1652284	7320079	RMI2	protein_coding
222	ILMN_1652287	6770603	NOG	protein_coding
223	ILMN_1652291	2370408	EVX2	protein_coding
224	ILMN_1652300	7380131	ZNF507	protein_coding
225	ILMN_1652306	840601	MEGF10	protein_coding
226	ILMN_1652309	840484	TTC8	protein_coding
227	ILMN_1652313	6420288	RNF215	protein_coding
228	ILMN_1652314	6280296	SPAG1	protein_coding
229	ILMN_1652333	4010021	FN3KRP	protein_coding
230	ILMN_1652343	4540170	HYDIN	protein_coding
231	ILMN_1652348	7570349	C4orf50	protein_coding
232	ILMN_1652357	7050706	PDHX	protein_coding
233	ILMN_1652365	2340592	DNAH14	protein_coding
234	ILMN_1652366	5670129	NLRP7	protein_coding
235	ILMN_1652368	6110202	NA	NA
236	ILMN_1652369	7320343	ERCC1	protein_coding
237	ILMN_1652371	2650753	KIAA1324L	protein_coding
238	ILMN_1652379	4060692	SUCLG2	protein_coding
239	ILMN_1652394	5360379	RAB2A	protein_coding
240	ILMN_1652407	1090438	ZMYND8	protein_coding
241	ILMN_1652409	380079	SPATA7	protein_coding
242	ILMN_1652412	1240019	PHKB	protein_coding
243	ILMN_1652413	4220437	NA	NA
244	ILMN_1652424	6270747	OR1S1	polymorphic_pseudogene
245	ILMN_1652429	360671	CFAP47	protein_coding
246	ILMN_1652430	650703	NA	NA
247	ILMN_1652431	2190139	CA1	protein_coding
248	ILMN_1652434	5310161	MTHFD2L	protein_coding
249	ILMN_1652436	4900176	CLNS1A	protein_coding
250	ILMN_1652439	2350484	KRTAP3-1	protein_coding
251	ILMN_1652445	6250300	RAC1	protein_coding
252	ILMN_1652450	1430672	LINC01166	lincRNA
253	ILMN_1652456	6040600	TMEM98	protein_coding
254	ILMN_1652459	3420427	ATAD3B	protein_coding
255	ILMN_1652461	3450601	PARD3B	protein_coding
256	ILMN_1652464	6650041	TUBA3E	protein_coding
257	ILMN_1652465	5900358	SLC26A4	protein_coding
258	ILMN_1652466	1770424	WNT3	protein_coding
259	ILMN_1652472	7210202	BRAF	protein_coding
260	ILMN_1652486	2450132	THAP7	protein_coding
261	ILMN_1652488	5360437	SLC16A9	protein_coding
262	ILMN_1652490	150041	MANSC1	protein_coding
263	ILMN_1652505	1430047	APEX2	protein_coding
264	ILMN_1652507	2370544	NA	NA
265	ILMN_1652512	6770209	C2CD2	protein_coding
266	ILMN_1652521	6960014	MTMR9	protein_coding
267	ILMN_1652525	650619	MVB12B	protein_coding
268	ILMN_1652527	6110750	NA	NA
269	ILMN_1652549	4570253	DTNA	protein_coding
270	ILMN_1652550	940008	GTF2IP13	transcribed_unprocessed_pseudogene
271	ILMN_1652574	2340368	NA	NA
272	ILMN_1652577	6480671	NA	NA
273	ILMN_1652594	2690670	ACTR5	protein_coding
274	ILMN_1652609	450240	ARHGEF28	protein_coding
275	ILMN_1652628	6220725	LINC01117	lincRNA
276	ILMN_1652631	830278	GLIPR2	protein_coding
277	ILMN_1652638	5340059	LRRC58	protein_coding
278	ILMN_1652639	6480280	NA	transcribed_unprocessed_pseudogene
279	ILMN_1652649	6350630	NA	NA
280	ILMN_1652650	4920328	SH3KBP1	protein_coding
281	ILMN_1652660	4010390	CCZ1B	protein_coding
282	ILMN_1652662	3120735	GRB10	protein_coding
283	ILMN_1652666	5360035	ENOX1	protein_coding
284	ILMN_1652674	2690129	LLGL2	protein_coding
285	ILMN_1652677	4040242	FAM89A	protein_coding
286	ILMN_1652685	430221	NA	NA
287	ILMN_1652687	460309	TMEM198B	transcribed_unitary_pseudogene
288	ILMN_1652693	290386	SHH	protein_coding
289	ILMN_1652694	4760441	FAM131B	protein_coding
290	ILMN_1652700	2350671	ELK1P1	processed_pseudogene
291	ILMN_1652701	5270014	CCDC30	protein_coding
292	ILMN_1652715	7150369	C10orf111	antisense
293	ILMN_1652716	7650373	ERI1	protein_coding
294	ILMN_1652719	5220711	TMCO5A	protein_coding
295	ILMN_1652721	1400241	NA	NA
296	ILMN_1652722	2100341	C14orf2	protein_coding
297	ILMN_1652727	780431	GLT8D1	protein_coding
298	ILMN_1652729	4920441	ANK2	protein_coding
299	ILMN_1652732	6180164	HTR7	protein_coding
300	ILMN_1652735	5050044	RFXAP	protein_coding
301	ILMN_1652736	2260133	RPS6KA3	protein_coding
302	ILMN_1652740	3800390	NA	protein_coding
303	ILMN_1652747	4860725	METAP1	protein_coding
304	ILMN_1652749	610678	NA	NA
305	ILMN_1652753	3290170	PAAF1	protein_coding
306	ILMN_1652754	1820543	NA	NA
307	ILMN_1652758	7320397	AGRN	protein_coding
308	ILMN_1652762	5820672	HIC2	protein_coding
309	ILMN_1652763	6280386	SMIM20	protein_coding
