Probe	ProbeID	gennames	biotype_gene
7045	ILMN_1693664	2940224	POMGNT1	protein_coding
7046	ILMN_1693668	3440672	WAPL	protein_coding
7047	ILMN_1693669	2260630	WRAP53	protein_coding
7048	ILMN_1693674	3370315	TRDN	protein_coding
7049	ILMN_1693679	6350762	STK16	protein_coding
7050	ILMN_1693683	1010601	PDAP1	protein_coding
7051	ILMN_1693685	4180431	LINC00116	protein_coding
7052	ILMN_1693693	2340095	OR5B3	protein_coding
7053	ILMN_1693702	5360202	MRFAP1L1	protein_coding
7054	ILMN_1693711	3360082	CCDC141	protein_coding
7055	ILMN_1693716	1980377	NA	NA
7056	ILMN_1693720	3460093	NA	lincRNA
7057	ILMN_1693726	5360717	NA	NA
7058	ILMN_1693727	6840725	SDCCAG3P1	processed_pseudogene
7059	ILMN_1693738	1770307	CTSE	protein_coding
7060	ILMN_1693740	7000341	DNAJC3-AS1	lincRNA
7061	ILMN_1693749	5490035	BMP4	protein_coding
7062	ILMN_1693758	4050537	LIG4	protein_coding
7063	ILMN_1693762	2510670	NA	NA
7064	ILMN_1693766	270022	CEP135	protein_coding
7065	ILMN_1693771	5890619	NA	NA
7066	ILMN_1693781	3520129	CLEC2D	protein_coding
7067	ILMN_1693788	1990768	ZNF432	protein_coding
7068	ILMN_1693789	2600133	ALPP	protein_coding
7069	ILMN_1693807	2450288	PTCHD3	protein_coding
7070	ILMN_1693822	4560674	HNRNPA1P8	processed_pseudogene
7071	ILMN_1693826	5220093	HAVCR2	protein_coding
7072	ILMN_1693827	5310154	GRIP2	protein_coding
7073	ILMN_1693830	5900524	NA	NA
7074	ILMN_1693843	2630390	HELT	protein_coding
7075	ILMN_1693853	2360639	HHAT	protein_coding
7076	ILMN_1693862	7200647	NA	NA
7077	ILMN_1693878	5910102	NA	NA
7078	ILMN_1693882	610768	TAPT1	protein_coding
7079	ILMN_1693886	3190414	PNRC2	protein_coding
7080	ILMN_1693891	4890291	MOGAT2	protein_coding
7081	ILMN_1693896	4590577	ATP8A2	protein_coding
7082	ILMN_1693905	4250500	NA	NA
7083	ILMN_1693910	4200653	IL15RA	protein_coding
7084	ILMN_1693912	6040451	SLC47A2	protein_coding
7085	ILMN_1693928	4560382	CDH24	protein_coding
7086	ILMN_1693932	6280039	SMLR1	protein_coding
7087	ILMN_1693939	3710528	OIT3	protein_coding
7088	ILMN_1693941	7650767	IGSF9	protein_coding
7089	ILMN_1693949	4120164	SPECC1	protein_coding
7090	ILMN_1693951	4670066	NA	NA
7091	ILMN_1693961	6400279	CATSPER3	protein_coding
7092	ILMN_1693966	5090546	NA	NA
7093	ILMN_1693976	940438	NA	NA
7094	ILMN_1693981	4480161	SH3TC2	protein_coding
7095	ILMN_1693983	4390026	NA	NA
7096	ILMN_1693985	5490025	JPH1	protein_coding
7097	ILMN_1693991	2570066	UBE2J2	protein_coding
7098	ILMN_1693996	4490400	NA	NA
7099	ILMN_1694007	1430722	ADRB3	protein_coding
7100	ILMN_1694011	50634	WNT2	protein_coding
7101	ILMN_1694012	1050446	NA	NA
7102	ILMN_1694027	2480192	NA	NA
7103	ILMN_1694034	6840209	LGALS4	protein_coding
7104	ILMN_1694041	5550343	PDCL	protein_coding
7105	ILMN_1694043	3520576	DNAH14	protein_coding
7106	ILMN_1694051	830041	OR7G2	protein_coding
7107	ILMN_1694058	2480451	IFITM4P	processed_pseudogene
7108	ILMN_1694061	4060279	TRAF3IP2	protein_coding
7109	ILMN_1694068	5860524	EFCAB2	protein_coding
7110	ILMN_1694069	1580685	NA	NA
7111	ILMN_1694077	1010070	TAAR6	protein_coding
7112	ILMN_1694078	5080035	NA	NA
7113	ILMN_1694080	1170291	ZNF804B	protein_coding
7114	ILMN_1694082	7040360	NA	NA
7115	ILMN_1694084	6860719	CYTH1	protein_coding
7116	ILMN_1694100	5700279	PRIM2	protein_coding
7117	ILMN_1694106	2450187	GPD1L	protein_coding
7118	ILMN_1694111	7610184	PNKP	protein_coding
7119	ILMN_1694126	2370546	KIF24	protein_coding
7120	ILMN_1694127	6760681	TRAV1-2	TR_V_gene
7121	ILMN_1694131	2450180	C4orf45	protein_coding
7122	ILMN_1694133	6250193	ADD2	protein_coding
7123	ILMN_1694140	20154	AFAP1L1	protein_coding
7124	ILMN_1694146	1740553	RASGEF1B	protein_coding
7125	ILMN_1694147	4260100	NA	NA
7126	ILMN_1694166	1110273	HIST1H2AA	protein_coding
7127	ILMN_1694174	2370328	TRIM68	protein_coding
7128	ILMN_1694177	6900079	PCNA	protein_coding
7129	ILMN_1694194	2940564	SCAF1	protein_coding
7130	ILMN_1694203	2810544	ZNF141	protein_coding
7131	ILMN_1694213	3450280	PLEKHO1	protein_coding
7132	ILMN_1694219	6560433	ARIH1	protein_coding
7133	ILMN_1694223	290053	NA	NA
7134	ILMN_1694233	5910148	ACYP1	protein_coding
7135	ILMN_1694240	1050600	NA	NA
7136	ILMN_1694246	1430609	NA	NA
7137	ILMN_1694268	610201	NA	NA
7138	ILMN_1694269	2850392	NA	NA
7139	ILMN_1694273	2600097	HRH3	protein_coding
7140	ILMN_1694274	6590491	NA	NA
7141	ILMN_1694280	1850563	CHIAP2	transcribed_unprocessed_pseudogene
7142	ILMN_1694311	5560056	NUDT6	protein_coding
7143	ILMN_1694323	3390437	NA	NA
7144	ILMN_1694325	5720129	NFIX	protein_coding
7145	ILMN_1694327	290162	NA	NA
7146	ILMN_1694331	7050246	NA	NA
7147	ILMN_1694339	6560661	TMEM89	protein_coding
7148	ILMN_1694346	840092	CRHR2	protein_coding
7149	ILMN_1694357	2650017	KIAA1109	protein_coding
7150	ILMN_1694359	3450500	PLEKHD1	protein_coding
7151	ILMN_1694363	6840152	NA	NA
7152	ILMN_1694367	3190561	NA	NA
7153	ILMN_1694382	240717	NA	NA
7154	ILMN_1694385	1340521	YWHAB	protein_coding
7155	ILMN_1694389	4730427	MYL10	protein_coding
7156	ILMN_1694395	6110626	C2orf42	protein_coding
7157	ILMN_1694398	7210082	EIF3F	protein_coding
7158	ILMN_1694399	1410768	ICA1	protein_coding
7159	ILMN_1694400	4570193	MSR1	protein_coding
7160	ILMN_1694413	5570521	NA	NA
7161	ILMN_1694414	3190128	NANOS2	protein_coding
7162	ILMN_1694419	2710470	KRTAP8-1	protein_coding
7163	ILMN_1694426	4920390	ROR2	protein_coding
7164	ILMN_1694431	4040681	NA	NA
7165	ILMN_1694432	5340246	CRIP2	protein_coding
7166	ILMN_1694458	1500672	LINC01235	lincRNA
7167	ILMN_1694466	4180468	NA	NA
7168	ILMN_1694470	1570341	NA	NA
7169	ILMN_1694472	7610639	GCK	protein_coding
7170	ILMN_1694475	650441	GTPBP2	protein_coding
7171	ILMN_1694476	4730403	HMBS	protein_coding
7172	ILMN_1694477	20575	NA	NA
7173	ILMN_1694479	7400554	WDR18	protein_coding
7174	ILMN_1694482	1820201	CELSR1	protein_coding
7175	ILMN_1694483	3120524	GPR50	protein_coding
7176	ILMN_1694485	6510022	NA	NA
7177	ILMN_1694486	6480333	TCIRG1	protein_coding
7178	ILMN_1694491	3170110	CCNG1	protein_coding
7179	ILMN_1694502	6200390	PRIM1	protein_coding
7180	ILMN_1694504	4540328	NA	NA
7181	ILMN_1694514	1450400	ZDHHC11	protein_coding
7182	ILMN_1694517	7100097	NA	lincRNA
7183	ILMN_1694530	7050349	DDA1	protein_coding
7184	ILMN_1694533	3360220	RMND1	protein_coding
7185	ILMN_1694535	2060554	PDZK1	protein_coding
7186	ILMN_1694539	5080471	MAP3K6	protein_coding
7187	ILMN_1694547	1190136	IFFO1	protein_coding
7188	ILMN_1694548	240594	ANXA3	protein_coding
7189	ILMN_1694569	6550441	NA	processed_pseudogene
7190	ILMN_1694582	290048	LIG3	protein_coding
7191	ILMN_1694584	1090427	CLTCL1	protein_coding
7192	ILMN_1694587	6330373	EEF1B2	protein_coding
7193	ILMN_1694588	2690379	C4BPB	protein_coding
7194	ILMN_1694589	2070451	NA	NA
7195	ILMN_1694593	1710332	NA	NA
7196	ILMN_1694603	620458	SMARCC1	protein_coding
7197	ILMN_1694608	6180719	C1QTNF1	protein_coding
7198	ILMN_1694630	10092	CACNG2	protein_coding
7199	ILMN_1694634	4180224	MOGAT3	protein_coding
7200	ILMN_1694653	3460037	CNDP1	protein_coding
7201	ILMN_1694662	3520360	CCDC144CP	transcribed_processed_pseudogene
7202	ILMN_1694666	110747	NA	NA
7203	ILMN_1694671	870379	ZFAND2A	protein_coding
7204	ILMN_1694686	4860291	HMGXB3	protein_coding
7205	ILMN_1694699	7380162	NA	NA
7206	ILMN_1694707	7210332	NA	antisense
7207	ILMN_1694711	6330538	MAD2L1BP	protein_coding
7208	ILMN_1694730	4230445	RNPEPL1	protein_coding
7209	ILMN_1694731	2060088	NA	NA
7210	ILMN_1694734	6270349	RUNX1T1	protein_coding
7211	ILMN_1694738	1240274	NA	NA
7212	ILMN_1694752	6020427	PARG	protein_coding
7213	ILMN_1694755	1510176	FSD1	protein_coding
7214	ILMN_1694757	840717	CTSL	protein_coding
7215	ILMN_1694759	1300041	NA	NA
7216	ILMN_1694767	4880605	NA	NA
7217	ILMN_1694772	6940524	EXD1	protein_coding
7218	ILMN_1694774	2490370	OR52J3	protein_coding
7219	ILMN_1694776	1010730	SCP2	protein_coding
7220	ILMN_1694778	6580270	NA	NA
7221	ILMN_1694780	5670475	NA	NA
7222	ILMN_1694798	6200300	TMEM267	protein_coding
7223	ILMN_1694799	2320735	PIAS2	protein_coding
7224	ILMN_1694801	770014	SLC39A4	protein_coding
7225	ILMN_1694810	4070300	PANX2	protein_coding
7226	ILMN_1694817	160382	TRH	protein_coding
7227	ILMN_1694818	6660273	NA	processed_pseudogene
7228	ILMN_1694839	4640358	NA	NA
7229	ILMN_1694840	5810746	NA	NA
7230	ILMN_1694875	1440707	APPBP2	protein_coding
7231	ILMN_1694877	5550709	CASP6	protein_coding
7232	ILMN_1694878	2680035	MIER2	protein_coding
7233	ILMN_1694882	4810176	AMY2B	protein_coding
7234	ILMN_1694886	6550612	PWWP2B	protein_coding
7235	ILMN_1694888	1410341	TAF2	protein_coding
7236	ILMN_1694890	6350750	NA	NA
7237	ILMN_1694913	3060437	NA	NA
7238	ILMN_1694917	4290482	SERPINB11	protein_coding
7239	ILMN_1694923	3930279	PTPN9	protein_coding
7240	ILMN_1694943	2940026	CAST	protein_coding
7241	ILMN_1694950	6760288	MRPL28	protein_coding
7242	ILMN_1694951	150086	NA	processed_pseudogene
7243	ILMN_1694956	5080551	SCN5A	protein_coding
7244	ILMN_1694966	4860753	ASGR2	protein_coding
7245	ILMN_1694973	3420703	DEFB127	protein_coding
7246	ILMN_1694979	2810228	TTC29	protein_coding
7247	ILMN_1694980	540519	NA	NA
7248	ILMN_1694983	2900300	DDX20	protein_coding
7249	ILMN_1694985	5720372	AKR1E2	protein_coding
7250	ILMN_1694988	6510523	NA	NA
7251	ILMN_1694995	3060315	NA	lincRNA
7252	ILMN_1695000	2600600	TFIP11	protein_coding
7253	ILMN_1695002	2370075	NA	NA
7254	ILMN_1695003	7040019	PCSK2	protein_coding
7255	ILMN_1695005	1070491	AKNAD1	protein_coding
7256	ILMN_1695006	6960762	NA	NA
7257	ILMN_1695020	1190504	NEK3	protein_coding
7258	ILMN_1695025	4210619	CD2	protein_coding
7259	ILMN_1695034	1230022	NA	NA
7260	ILMN_1695035	2000170	ATP2A1	protein_coding
7261	ILMN_1695036	1660253	TPPP3	protein_coding
7262	ILMN_1695041	2490594	NA	NA
7263	ILMN_1695048	1820202	NA	NA
7264	ILMN_1695058	4860181	SLC38A5	protein_coding
7265	ILMN_1695061	5700703	UNC79	protein_coding
7266	ILMN_1695079	1440605	ZNF101	protein_coding
7267	ILMN_1695080	6480653	NA	NA
7268	ILMN_1695087	6100477	LNPK	protein_coding
7269	ILMN_1695092	3390370	WRB	protein_coding
7270	ILMN_1695097	2100338	NA	NA
7271	ILMN_1695107	6450482	IL20RA	protein_coding
7272	ILMN_1695108	5810563	RSPO2	protein_coding
7273	ILMN_1695110	6560497	BCAT2	protein_coding
7274	ILMN_1695119	1170092	TAF1C	protein_coding
7275	ILMN_1695128	3140082	ZFYVE9	protein_coding
7276	ILMN_1695135	1050176	GCM1	protein_coding
7277	ILMN_1695157	6380672	CA4	protein_coding
7278	ILMN_1695181	6590672	SCRIB	protein_coding
7279	ILMN_1695226	5900017	DIAPH3	protein_coding
7280	ILMN_1695242	4920341	NA	NA
7281	ILMN_1695246	7560114	KLHDC8B	protein_coding
7282	ILMN_1695251	7210328	NA	NA
7283	ILMN_1695263	4640274	NA	NA
7284	ILMN_1695271	670598	RPP25	protein_coding
7285	ILMN_1695276	3400360	MAPRE2	protein_coding
7286	ILMN_1695280	7160563	NA	NA
7287	ILMN_1695285	5570326	CAPN14	protein_coding
7288	ILMN_1695288	4610735	PDE5A	protein_coding
7289	ILMN_1695290	1820328	FERMT2	protein_coding
7290	ILMN_1695299	770463	PDLIM3	protein_coding
7291	ILMN_1695311	540563	NA	NA
7292	ILMN_1695316	3120543	SLC39A8	protein_coding
7293	ILMN_1695317	6760195	RCBTB1	protein_coding
7294	ILMN_1695334	5900474	PYGO2	protein_coding
7295	ILMN_1695341	2900605	KCNK10	protein_coding
7296	ILMN_1695343	1070039	NA	processed_pseudogene
7297	ILMN_1695353	6770500	ASCL3	protein_coding
7298	ILMN_1695354	110280	BMF	protein_coding
7299	ILMN_1695356	4280348	NA	NA
7300	ILMN_1695357	520528	SPDL1	protein_coding
7301	ILMN_1695362	6110053	NA	NA
7302	ILMN_1695370	1440121	RPS3AP25	processed_pseudogene
7303	ILMN_1695376	7050088	NA	NA
7304	ILMN_1695378	4230521	SREBF1	protein_coding
7305	ILMN_1695382	6770703	TSC22D3	protein_coding
7306	ILMN_1695386	5910215	RAD51C	protein_coding
7307	ILMN_1695395	4050176	XYLT1	protein_coding
7308	ILMN_1695404	4890270	LY6E	protein_coding
7309	ILMN_1695414	2630673	ASF1B	protein_coding
7310	ILMN_1695418	4010242	IQGAP3	protein_coding
7311	ILMN_1695420	6380128	CLTA	protein_coding
7312	ILMN_1695421	4610564	MARK2P12	processed_pseudogene
7313	ILMN_1695422	3120458	NCL	protein_coding
7314	ILMN_1695423	6250487	CD9	protein_coding
7315	ILMN_1695430	4010551	DDB1	protein_coding
7316	ILMN_1695432	2630017	TPST2	protein_coding
7317	ILMN_1695443	6350349	MAP3K19	protein_coding
7318	ILMN_1695446	4900433	AMBP	protein_coding
7319	ILMN_1695461	5870273	PTPRA	protein_coding
7320	ILMN_1695468	2120731	SRPK2	protein_coding
7321	ILMN_1695472	6180196	MRPL10	protein_coding
7322	ILMN_1695475	5670246	SEMA3C	protein_coding
7323	ILMN_1695485	7560706	FAM225A	lincRNA
7324	ILMN_1695490	1580014	PLD4	protein_coding
7325	ILMN_1695491	2810167	WDYHV1	protein_coding
7326	ILMN_1695506	2140441	DKK2	protein_coding
7327	ILMN_1695509	3990136	PTPN12	protein_coding
7328	ILMN_1695530	5050544	MS4A3	protein_coding
7329	ILMN_1695533	5560064	OR10AG1	protein_coding
7330	ILMN_1695549	990079	NECTIN1	protein_coding
7331	ILMN_1695579	3060438	CIT	protein_coding
7332	ILMN_1695583	4890739	PSMC1P12	processed_pseudogene
7333	ILMN_1695590	7570326	ADRB2	protein_coding
7334	ILMN_1695604	5700747	NA	NA
7335	ILMN_1695606	2680070	EFNB3	protein_coding
7336	ILMN_1695618	4280403	NA	NA
7337	ILMN_1695621	4890202	KRT3	protein_coding
7338	ILMN_1695631	2680332	CHP2	protein_coding
7339	ILMN_1695633	4640521	MAX	protein_coding
7340	ILMN_1695640	6560220	NA	NA
7341	ILMN_1695645	2120707	CETN2	protein_coding
7342	ILMN_1695658	1050195	KIF20A	protein_coding
7343	ILMN_1695663	510019	NA	NA
7344	ILMN_1695679	6520377	NWD2	protein_coding
7345	ILMN_1695687	5050270	SALL4	protein_coding
7346	ILMN_1695691	4670541	NA	unprocessed_pseudogene
7347	ILMN_1695697	2680292	NA	antisense
7348	ILMN_1695706	1440296	H3F3B	protein_coding
7349	ILMN_1695711	5130661	FAM105A	protein_coding
7350	ILMN_1695717	5270446	RBM41	protein_coding
7351	ILMN_1695719	290468	AGO2	protein_coding
7352	ILMN_1695731	5670180	TUBG1	protein_coding
7353	ILMN_1695740	6270091	NA	NA
7354	ILMN_1695744	7610136	LILRB2	protein_coding
7355	ILMN_1695745	5570246	DISP1	protein_coding
7356	ILMN_1695759	6110280	AMDHD2	protein_coding
7357	ILMN_1695773	4480373	STK24	protein_coding
7358	ILMN_1695775	7200634	NA	processed_pseudogene
7359	ILMN_1695790	1170468	UBE2MP1	processed_pseudogene
7360	ILMN_1695792	2640487	CUL4A	protein_coding
7361	ILMN_1695797	3360086	NCOA6	protein_coding
7362	ILMN_1695799	2490047	LINC00634	unitary_pseudogene
7363	ILMN_1695807	4210735	DYRK3	protein_coding
7364	ILMN_1695812	2600369	KRT72	protein_coding
7365	ILMN_1695814	3370670	UPK3B	protein_coding
7366	ILMN_1695821	2120088	ACTR1B	protein_coding
7367	ILMN_1695827	3990368	PPP1CA	protein_coding
7368	ILMN_1695829	1690053	NA	NA
7369	ILMN_1695844	2750564	NA	NA
7370	ILMN_1695847	6330102	ZKSCAN5	protein_coding
7371	ILMN_1695851	6200685	PARVG	protein_coding
7372	ILMN_1695853	5820403	CLK4	protein_coding
7373	ILMN_1695856	670431	BOD1L1	protein_coding
7374	ILMN_1695858	10301	CICP17	processed_pseudogene
7375	ILMN_1695865	3710482	BNIP3L	protein_coding
7376	ILMN_1695871	6770528	DISC1	protein_coding
7377	ILMN_1695872	270519	CDC42P2	processed_pseudogene
7378	ILMN_1695878	70132	TIGD3	protein_coding
7379	ILMN_1695880	3940017	NA	NA
7380	ILMN_1695893	5390605	NXPH4	protein_coding
7381	ILMN_1695900	2030215	TNFSF11	protein_coding
7382	ILMN_1695917	3420692	C5orf15	protein_coding
7383	ILMN_1695924	5900008	KLK11	protein_coding
7384	ILMN_1695940	3800326	OR8J1	protein_coding
7385	ILMN_1695941	630092	NECAB1	protein_coding
7386	ILMN_1695945	20358	MEIS2	protein_coding
7387	ILMN_1695946	7150292	TRNP1	protein_coding
7388	ILMN_1695947	6370026	SCN4B	protein_coding
7389	ILMN_1695949	3360653	SIGLEC12	protein_coding
7390	ILMN_1695959	3310307	EVA1C	protein_coding
7391	ILMN_1695960	4070685	DIP2C	protein_coding
7392	ILMN_1695961	2970685	CLK3	protein_coding
7393	ILMN_1695962	110450	SLC12A9	protein_coding
7394	ILMN_1695965	4260288	NA	NA
7395	ILMN_1695968	6450059	ABCG1	protein_coding
7396	ILMN_1695969	4250471	TMPRSS15	protein_coding
7397	ILMN_1695972	3990564	CCDC89	protein_coding
7398	ILMN_1695978	1110291	LINGO2	protein_coding
7399	ILMN_1695983	6110035	DDX42	protein_coding
7400	ILMN_1695991	2030400	NA	NA
7401	ILMN_1695992	2850594	PAGE5	protein_coding
7402	ILMN_1695998	5090376	YKT6	protein_coding
7403	ILMN_1696003	6060592	GNAI3	protein_coding
7404	ILMN_1696004	510551	NA	NA
7405	ILMN_1696021	5340021	NA	NA
7406	ILMN_1696028	3890543	ETNK1	protein_coding
7407	ILMN_1696029	6980128	NA	NA
7408	ILMN_1696031	60040	HMGN2P46	transcribed_processed_pseudogene
7409	ILMN_1696038	2760273	NA	antisense
7410	ILMN_1696041	540021	CDC42	protein_coding
7411	ILMN_1696046	4670487	SIVA1	protein_coding
7412	ILMN_1696048	3390543	NA	NA
7413	ILMN_1696051	430445	SNX11	protein_coding
7414	ILMN_1696054	5360494	SMYD1	protein_coding
7415	ILMN_1696055	7040328	NA	NA
7416	ILMN_1696056	1990400	SLC8A3	protein_coding
7417	ILMN_1696060	770328	GRM7	protein_coding
7418	ILMN_1696065	1980360	SDF4	protein_coding
7419	ILMN_1696066	20010	CARS	protein_coding
7420	ILMN_1696079	2690019	DNAJC6	protein_coding
7421	ILMN_1696085	2630451	NA	NA
7422	ILMN_1696087	4060722	PHB2	protein_coding
7423	ILMN_1696099	2640273	NA	NA
7424	ILMN_1696118	1010332	NA	NA
7425	ILMN_1696119	5290242	NA	NA
7426	ILMN_1696120	5550324	NA	NA
7427	ILMN_1696126	6560630	STX18	protein_coding
7428	ILMN_1696127	3420450	GLTSCR1L	protein_coding
7429	ILMN_1696131	6100113	ANKS1B	protein_coding
7430	ILMN_1696132	3460131	ATP1A4	protein_coding
7431	ILMN_1696133	4280370	SELENOI	protein_coding
7432	ILMN_1696162	2810450	MME	protein_coding
7433	ILMN_1696167	60373	SYT6	protein_coding
7434	ILMN_1696183	4040170	HBQ1	protein_coding
7435	ILMN_1696186	290563	PLEKHA7	protein_coding
7436	ILMN_1696187	2760427	PYGL	protein_coding
7437	ILMN_1696189	6130739	KCNAB1	protein_coding
7438	ILMN_1696190	1770048	STRN4	protein_coding
7439	ILMN_1696214	1740477	NA	NA
7440	ILMN_1696223	1230601	ATP7B	protein_coding
7441	ILMN_1696228	5820592	AIM1L	protein_coding
7442	ILMN_1696243	7000575	STMND1	protein_coding
7443	ILMN_1696254	2630333	CYB5D2	protein_coding
7444	ILMN_1696263	7550255	NA	NA
7445	ILMN_1696265	6180142	MAP3K2	protein_coding
7446	ILMN_1696266	670014	NA	NA
7447	ILMN_1696270	6770497	PLAG1	protein_coding
7448	ILMN_1696276	6100196	NA	NA
7449	ILMN_1696279	1570544	SIM1	protein_coding
7450	ILMN_1696284	5570037	CLDN18	protein_coding
7451	ILMN_1696289	6860168	HSP90AB6P	processed_pseudogene
7452	ILMN_1696294	3420008	SNX6	protein_coding
7453	ILMN_1696295	4490544	NA	NA
7454	ILMN_1696306	5910379	NA	NA
7455	ILMN_1696311	1110367	IMPAD1	protein_coding
7456	ILMN_1696316	5290358	CPT1A	protein_coding
7457	ILMN_1696317	5810221	CACNA2D4	protein_coding
7458	ILMN_1696318	2260324	NA	NA
7459	ILMN_1696330	5890338	NA	NA
7460	ILMN_1696333	5720402	NXPH4	protein_coding
7461	ILMN_1696339	510368	ZIC2	protein_coding
7462	ILMN_1696347	5270367	CTSC	protein_coding
7463	ILMN_1696360	240309	CTSB	protein_coding
7464	ILMN_1696375	5690156	TTC31	protein_coding
7465	ILMN_1696383	1410528	POP4	protein_coding
7466	ILMN_1696391	3400747	LEPR	protein_coding
7467	ILMN_1696394	1780603	IL6R	protein_coding
7468	ILMN_1696407	3940414	NA	NA
7469	ILMN_1696415	6840731	TYW1	protein_coding
7470	ILMN_1696419	6290519	STOM	protein_coding
7471	ILMN_1696420	430040	BRD7	protein_coding
7472	ILMN_1696424	2370097	BRD9	protein_coding
7473	ILMN_1696432	3180048	IDH1	protein_coding
7474	ILMN_1696434	2190113	LAMA1	protein_coding
7475	ILMN_1696450	650561	KLK1	protein_coding
7476	ILMN_1696463	5810398	SPI1	protein_coding
7477	ILMN_1696466	4180544	ROPN1L	protein_coding
7478	ILMN_1696468	4150176	CSNK2A2	protein_coding
7479	ILMN_1696469	2970220	NA	NA
7480	ILMN_1696480	5050543	NA	NA
7481	ILMN_1696485	1820398	NA	NA
7482	ILMN_1696486	780347	NA	NA
7483	ILMN_1696488	2060333	FGF23	protein_coding
7484	ILMN_1696494	1470520	NA	NA
7485	ILMN_1696503	6590440	JRKL	protein_coding
7486	ILMN_1696512	2350274	AHSP	protein_coding
7487	ILMN_1696513	5420154	NA	NA
7488	ILMN_1696526	5550129	SNX19P3	processed_pseudogene
7489	ILMN_1696528	6290010	NA	NA
7490	ILMN_1696532	940180	RBBP5	protein_coding
7491	ILMN_1696537	380019	NA	NA
7492	ILMN_1696546	3520066	FZD1	protein_coding
7493	ILMN_1696556	7050075	URB2	protein_coding
7494	ILMN_1696558	5700543	ADGRA3	protein_coding
7495	ILMN_1696567	4200164	NA	NA
7496	ILMN_1696568	780367	ATP2C1	protein_coding
7497	ILMN_1696582	6110685	BTBD11	protein_coding
7498	ILMN_1696583	630626	ZNF169	protein_coding
7499	ILMN_1696585	5890347	FERMT1	protein_coding
7500	ILMN_1696587	3120528	LRP1B	protein_coding
7501	ILMN_1696590	7380767	NA	NA
7502	ILMN_1696591	6280474	RB1	protein_coding
7503	ILMN_1696597	1570010	HMCES	protein_coding
7504	ILMN_1696600	3170121	NA	NA
7505	ILMN_1696601	6980100	VARS	protein_coding
7506	ILMN_1696615	1850097	CA8	protein_coding
7507	ILMN_1696643	6650433	TLN1	protein_coding
7508	ILMN_1696654	4890327	IFIT5	protein_coding
7509	ILMN_1696657	1410403	LRRN2	protein_coding
7510	ILMN_1696659	1430035	THSD1	protein_coding
7511	ILMN_1696666	6510162	DBF4B	protein_coding
7512	ILMN_1696670	4540017	GOLGA2P5	transcribed_unprocessed_pseudogene
7513	ILMN_1696675	3520372	NA	NA
7514	ILMN_1696682	6130162	ABLIM1	protein_coding
7515	ILMN_1696683	4180458	THRB	protein_coding
7516	ILMN_1696684	6040400	FAM90A1	protein_coding
7517	ILMN_1696692	2060739	BAZ1B	protein_coding
7518	ILMN_1696698	5220112	ZNF280C	protein_coding
7519	ILMN_1696699	4490333	NA	NA
7520	ILMN_1696701	2750593	DUBR	lincRNA
7521	ILMN_1696702	4260053	NEO1	protein_coding
7522	ILMN_1696704	2470136	NA	NA
7523	ILMN_1696708	3290689	C14orf166	protein_coding
7524	ILMN_1696709	4830168	TADA2A	protein_coding
7525	ILMN_1696711	6400088	NA	NA
7526	ILMN_1696713	4920537	POLA2	protein_coding
7527	ILMN_1696720	4150719	COX6CP3	processed_pseudogene
7528	ILMN_1696738	5910593	KRTAP9-4	protein_coding
7529	ILMN_1696749	6020424	LMNA	protein_coding
7530	ILMN_1696751	7510471	NA	lincRNA
7531	ILMN_1696757	7000240	NA	NA
7532	ILMN_1696767	1710053	SERP2	protein_coding
7533	ILMN_1696806	4200019	CTNND1	protein_coding
7534	ILMN_1696810	50474	GPR182	protein_coding
7535	ILMN_1696814	6620279	SEPSECS	protein_coding
7536	ILMN_1696826	2100386	DNHD1	protein_coding
7537	ILMN_1696827	3400170	PARS2	protein_coding
7538	ILMN_1696828	2940471	RGS14	protein_coding
7539	ILMN_1696830	1170474	AMPD2	protein_coding
7540	ILMN_1696845	2260128	ARHGAP35	protein_coding
7541	ILMN_1696852	6960246	NA	unprocessed_pseudogene
7542	ILMN_1696867	6840288	TPD52L3	protein_coding
7543	ILMN_1696870	6660133	TGFBRAP1	protein_coding
7544	ILMN_1696886	3060037	NA	NA
7545	ILMN_1696909	4120519	NA	NA
7546	ILMN_1696911	1980594	FTH1P8	processed_pseudogene
7547	ILMN_1696921	5340300	LATS1	protein_coding
7548	ILMN_1696924	2970132	OR4K1	protein_coding
7549	ILMN_1696933	4540390	NLRP3	protein_coding
7550	ILMN_1696935	4920056	RBM39	protein_coding
7551	ILMN_1696939	6520358	NA	lincRNA
7552	ILMN_1696961	3850719	NA	NA
7553	ILMN_1696962	2340008	PDZD8	protein_coding
7554	ILMN_1696974	3890484	NA	NA
7555	ILMN_1696975	1170689	USP1	protein_coding
7556	ILMN_1696990	6130192	KRT8P26	processed_pseudogene
7557	ILMN_1696991	1510040	DYRK1B	protein_coding
7558	ILMN_1697000	3890215	NA	NA
7559	ILMN_1697002	3140037	NA	NA
7560	ILMN_1697024	2690300	STYX	protein_coding
7561	ILMN_1697031	4070487	DCUN1D2	protein_coding
7562	ILMN_1697054	770156	LRRN4CL	protein_coding
7563	ILMN_1697056	5260603	NA	NA
7564	ILMN_1697069	2630288	CSF3	protein_coding
7565	ILMN_1697081	7610196	GAL3ST3	protein_coding
7566	ILMN_1697088	2060154	ARMC5	protein_coding
7567	ILMN_1697095	5050672	SUZ12P1	transcribed_unprocessed_pseudogene
7568	ILMN_1697115	3930082	CEBPA-AS1	antisense
